<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20230220,200000,154.0400000,154.0900000,153.6000000,153.7300000,454830
GAZP,60,20230220,210000,153.7200000,153.7300000,153.2900000,153.5000000,368380
GAZP,60,20230220,220000,153.5400000,153.7100000,153.1800000,153.3500000,334230
GAZP,60,20230220,230000,153.3500000,153.5200000,153.0000000,153.4000000,423590
GAZP,60,20230221,000000,153.4200000,153.5000000,153.1300000,153.2400000,147220
GAZP,60,20230221,110000,153.6200000,156.0000000,153.6200000,155.3000000,5556130
GAZP,60,20230221,120000,155.2800000,155.5000000,154.5300000,155.4800000,1664090
GAZP,60,20230221,130000,155.4800000,156.4300000,154.7100000,155.9100000,5441790
GAZP,60,20230221,140000,155.9100000,156.2500000,154.8100000,155.2300000,3129210
GAZP,60,20230221,150000,155.2100000,155.5000000,155.1500000,155.3700000,814230
GAZP,60,20230221,160000,155.3900000,155.3900000,154.2800000,154.3800000,1296060
GAZP,60,20230221,170000,154.3400000,154.9900000,154.2200000,154.7200000,665160
GAZP,60,20230221,180000,154.7200000,154.7200000,154.5000000,154.5800000,668100
GAZP,60,20230221,190000,154.5700000,154.6500000,154.5300000,154.6500000,472750
GAZP,60,20230221,200000,154.6600000,154.6600000,154.5100000,154.5900000,215750
GAZP,60,20230221,210000,154.5900000,155.3700000,154.5800000,155.1800000,670120
GAZP,60,20230221,220000,155.1800000,155.1800000,154.8100000,155.0000000,233090
GAZP,60,20230221,230000,154.9900000,155.1900000,154.6500000,154.8800000,367950
GAZP,60,20230222,000000,154.8700000,155.0800000,154.8500000,154.9700000,183480
GAZP,60,20230222,110000,154.8500000,154.8500000,153.5000000,153.5500000,2517070
GAZP,60,20230222,120000,153.5600000,154.4300000,153.5000000,154.4100000,773220
GAZP,60,20230222,130000,154.4000000,154.5800000,153.9600000,154.2900000,832570
GAZP,60,20230222,140000,154.3000000,154.5000000,154.2400000,154.4900000,324080
GAZP,60,20230222,150000,154.4800000,154.4900000,154.3000000,154.4000000,289090
GAZP,60,20230222,160000,154.4000000,156.4000000,154.3700000,156.3800000,1593100
GAZP,60,20230222,170000,156.3800000,156.4000000,155.6200000,155.7900000,1758520
GAZP,60,20230222,180000,155.7800000,156.0500000,154.7400000,155.8100000,1319310
GAZP,60,20230222,190000,155.8100000,155.8100000,155.5800000,155.6700000,598370
GAZP,60,20230222,200000,155.7000000,155.9900000,155.4000000,155.7300000,495720
GAZP,60,20230222,210000,155.7400000,155.7500000,155.6100000,155.7000000,214310
